"店铺","时间","商品ID","商品名称","失败原因"
"云米拼多多官方旗舰店","2026/5/7 13:48:39","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:48:42","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:48:45","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:48:48","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:48:51","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:48:53","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:48:56","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:48:59","225501370546","VIOMI 云米净水器小海豚600 厨下式RO反渗透直饮家用 无罐一体式","[映射异常] 该系统商品绑定了多个抓取条码 (6923185616382  6923185681113  S2512250943001)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:49:02","225501370546","VIOMI 云米净水器小海豚600 厨下式RO反渗透直饮家用 无罐一体式","[映射异常] 该系统商品绑定了多个抓取条码 (6923185616382  6923185681113  S2512250943001)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:49:04","225501370546","VIOMI 云米净水器小海豚600 厨下式RO反渗透直饮家用 无罐一体式","[映射异常] 该系统商品绑定了多个抓取条码 (6923185616382  6923185681113  S2512250943001)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:49:07","290543633215","X2 X2-Face X2-Pro  云米净水器滤芯家用通用适用系列","[映射异常] 该系统商品绑定了多个抓取条码 (6923185614258  6923185616177)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:49:10","290543633215","X2 X2-Face X2-Pro  云米净水器滤芯家用通用适用系列","[映射异常] 该系统商品绑定了多个抓取条码 (6923185614258  6923185616177)，存在乱价风险，停止调价。"
